From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
6267;3658;land;1944;-1;-1;-1;-1;land
6269;3658;land;1944;-1;-1;-1;-1;land
6269;6272;land;1944;-1;-1;-1;-1;land
6281;6279;land;1944;-1;-1;-1;-1;land
6281;6280;land;1944;-1;-1;-1;-1;land
6281;6284;land;1944;-1;-1;-1;-1;land
6282;6284;land;1944;-1;-1;-1;-1;land
6282;6283;land;1944;-1;-1;-1;-1;land
6637;6222;land;2976;-1;-1;-1;-1;land
6637;6563;land;2976;-1;-1;-1;-1;land
3780;6563;land;2976;-1;-1;-1;-1;land
3780;3711;land;2976;-1;-1;-1;-1;land
5037;5044;land;2001;-1;-1;-1;-1;land
5041;5034;land;2001;-1;-1;-1;-1;land
5041;5035;land;2001;-1;-1;-1;-1;land
5033;5028;land;2001;-1;-1;-1;-1;land
5033;5029;land;2001;-1;-1;-1;-1;land
5031;5027;land;2001;-1;-1;-1;-1;land
2340;797;land;1912;-1;-1;-1;-1;land
729;2977;land;1653;-1;-1;-1;-1;land
729;731;land;1653;-1;-1;-1;-1;land
3285;6179;land;1916;-1;-1;-1;-1;land
3285;6180;land;1916;-1;-1;-1;-1;land
3283;6180;land;1916;-1;-1;-1;-1;land
5716;5811;land;1917;-1;-1;-1;-1;land
5716;5812;land;1917;-1;-1;-1;-1;land
5840;5788;land;1917;-1;-1;-1;-1;land
4833;4836;land;1918;-1;-1;-1;-1;land
4819;4822;land;1919;-1;-1;-1;-1;land
4819;4823;land;1919;-1;-1;-1;-1;land
2764;4818;land;1919;-1;-1;-1;-1;land
2765;607;land;1919;-1;-1;-1;-1;land
5914;2658;land;1919;-1;-1;-1;-1;land
5914;5906;land;1919;-1;-1;-1;-1;land
706;5906;land;1919;-1;-1;-1;-1;land
380;1218;land;1919;-1;-1;-1;-1;land
5907;1218;land;1919;-1;-1;-1;-1;land
5907;5939;land;1919;-1;-1;-1;-1;land
2785;2772;land;1919;-1;-1;-1;-1;land
4804;881;land;1920;-1;-1;-1;-1;land
4804;4805;land;1920;-1;-1;-1;-1;land
2650;2635;land;1920;-1;-1;-1;-1;land
2627;1084;land;1921;-1;-1;-1;-1;land
5274;1857;land;1921;-1;-1;-1;-1;land
842;746;land;1921;-1;-1;-1;-1;land
842;233;land;1921;-1;-1;-1;-1;land
842;2631;land;1921;-1;-1;-1;-1;land
3204;589;land;1921;-1;-1;-1;-1;land
2636;2935;land;1921;-1;-1;-1;-1;land
2636;2649;land;1921;-1;-1;-1;-1;land
52;2649;land;1921;-1;-1;-1;-1;land
2638;2694;land;1921;-1;-1;-1;-1;land
414;286;land;1923;-1;-1;-1;-1;land
1099;809;land;1926;-1;-1;-1;-1;land
1216;548;land;1926;-1;-1;-1;-1;land
4098;2059;land;1928;-1;-1;-1;-1;land
4496;1289;land;1928;-1;-1;-1;-1;land
4496;2163;land;1928;-1;-1;-1;-1;land
4496;4492;land;1928;-1;-1;-1;-1;land
2173;4105;land;1928;-1;-1;-1;-1;land
2173;2063;land;1928;-1;-1;-1;-1;land
4102;2324;land;1929;-1;-1;-1;-1;land
2796;736;land;1929;-1;-1;-1;-1;land
2796;4059;land;1929;-1;-1;-1;-1;land
989;2056;land;1932;-1;-1;-1;-1;land
527;202;land;1932;-1;-1;-1;-1;land
527;200;land;1932;-1;-1;-1;-1;land
527;391;land;1932;-1;-1;-1;-1;land
2092;2231;land;1932;-1;-1;-1;-1;land
2058;1939;land;1932;-1;-1;-1;-1;land
532;2211;land;1932;-1;-1;-1;-1;land
317;98;land;1924;-1;-1;-1;-1;land
317;2409;land;1924;-1;-1;-1;-1;land
317;1248;land;1924;-1;-1;-1;-1;land
2306;1248;land;1924;-1;-1;-1;-1;land
2306;156;land;1924;-1;-1;-1;-1;land
2306;3195;land;1924;-1;-1;-1;-1;land
2504;867;land;1924;-1;-1;-1;-1;land
162;160;land;1924;-1;-1;-1;-1;land
157;4110;land;1924;-1;-1;-1;-1;land
162;4110;land;1924;-1;-1;-1;-1;land
2620;2424;land;1924;-1;-1;-1;-1;land
2620;1940;land;1924;-1;-1;-1;-1;land
2490;1951;land;1924;-1;-1;-1;-1;land
2490;1878;land;1924;-1;-1;-1;-1;land
40;1878;land;1924;-1;-1;-1;-1;land
121;276;land;1924;-1;-1;-1;-1;land
121;269;land;1924;-1;-1;-1;-1;land
121;1760;land;1924;-1;-1;-1;-1;land
4111;2464;land;1924;-1;-1;-1;-1;land
2468;762;land;1924;-1;-1;-1;-1;land
163;1943;land;1924;-1;-1;-1;-1;land
163;164;land;1924;-1;-1;-1;-1;land
163;2460;land;3021;-1;-1;-1;-1;land
335;2460;land;3021;-1;-1;-1;-1;land
2986;2732;land;3021;-1;-1;-1;-1;land
159;268;land;3021;-1;-1;-1;-1;land
151;268;land;3021;-1;-1;-1;-1;land
343;72;land;3021;-1;-1;-1;-1;land
2459;2385;land;3021;-1;-1;-1;-1;land
2459;289;land;3021;-1;-1;-1;-1;land
2032;1959;land;3021;-1;-1;-1;-1;land
2032;310;land;3021;-1;-1;-1;-1;land
2032;295;land;3021;-1;-1;-1;-1;land
2032;2665;land;3021;-1;-1;-1;-1;land
1961;543;land;3021;-1;-1;-1;-1;land
132;543;land;3021;-1;-1;-1;-1;land
309;236;land;3021;-1;-1;-1;-1;land
310;236;land;3021;-1;-1;-1;-1;land
2572;339;land;3021;-1;-1;-1;-1;land
2245;2954;land;3021;-1;-1;-1;-1;land
2048;2248;land;3021;-1;-1;-1;-1;land
2048;2257;land;3021;-1;-1;-1;-1;land
1137;2257;land;3021;-1;-1;-1;-1;land
1137;1124;land;3021;-1;-1;-1;-1;land
69;1124;land;3021;-1;-1;-1;-1;land
840;1093;land;3021;-1;-1;-1;-1;land
840;4863;land;3021;-1;-1;-1;-1;land
693;442;land;2205;-1;-1;-1;-1;land
5460;1973;land;2205;-1;-1;-1;-1;land
5460;455;land;2205;-1;-1;-1;-1;land
449;5479;land;2205;-1;-1;-1;-1;land
449;2370;land;2205;-1;-1;-1;-1;land
1970;2370;land;2205;-1;-1;-1;-1;land
5474;5473;land;2205;-1;-1;-1;-1;land
576;5475;land;2205;-1;-1;-1;-1;land
576;5494;land;2205;-1;-1;-1;-1;land
799;2069;land;2205;-1;-1;-1;-1;land
799;5547;land;2205;-1;-1;-1;-1;land
1075;5399;land;2205;-1;-1;-1;-1;land
5403;2192;land;2205;-1;-1;-1;-1;land
5400;2624;land;2205;-1;-1;-1;-1;land
5403;2918;land;2205;-1;-1;-1;-1;land
539;2918;land;2205;-1;-1;-1;-1;land
5538;2918;land;2205;-1;-1;-1;-1;land
539;5398;land;2205;-1;-1;-1;-1;land
2031;5530;land;2205;-1;-1;-1;-1;land
712;547;land;2205;-1;-1;-1;-1;land
384;5550;land;2205;-1;-1;-1;-1;land
2073;5513;land;2205;-1;-1;-1;-1;land
5546;5664;land;2205;-1;-1;-1;-1;land
5546;5663;land;2205;-1;-1;-1;-1;land
2070;5663;land;2205;-1;-1;-1;-1;land
2438;5663;land;2205;-1;-1;-1;-1;land
2438;5659;land;2205;-1;-1;-1;-1;land
5395;5659;land;2205;-1;-1;-1;-1;land
5658;5388;land;2205;-1;-1;-1;-1;land
5658;5393;land;2205;-1;-1;-1;-1;land
5677;5393;land;2205;-1;-1;-1;-1;land
5678;5394;land;2205;-1;-1;-1;-1;land
5678;5391;land;2205;-1;-1;-1;-1;land
5679;5390;land;2205;-1;-1;-1;-1;land
5680;5389;land;2205;-1;-1;-1;-1;land
5682;1043;land;2205;-1;-1;-1;-1;land
5690;2381;land;2205;-1;-1;-1;-1;land
5690;5385;land;2205;-1;-1;-1;-1;land
5690;5572;land;2205;-1;-1;-1;-1;land
5609;5695;land;2205;-1;-1;-1;-1;land
5609;5694;land;2205;-1;-1;-1;-1;land
4892;5458;land;2205;-1;-1;-1;-1;land
5457;760;land;2205;-1;-1;-1;-1;land
2171;4895;land;2205;-1;-1;-1;-1;land
683;2113;land;2205;-1;-1;-1;-1;land
683;4898;land;2205;-1;-1;-1;-1;land
198;2744;land;2205;-1;-1;-1;-1;land
6462;6461;land;4867;-1;-1;-1;-1;land
6462;6467;land;4867;-1;-1;-1;-1;land
2779;2772;land;1919;-1;-1;-1;-1;land
2779;1138;land;1919;-1;-1;-1;-1;land
2779;5942;land;1919;-1;-1;-1;-1;land
3062;3037;lake;3990;-1;-1;-1;-1;oasis
3062;3124;lake;3990;-1;-1;-1;-1;oasis
3063;3068;lake;4012;-1;-1;-1;-1;oasis
3063;3139;lake;3167;-1;-1;-1;-1;oasis
3082;3137;lake;3166;-1;-1;-1;-1;oasis
4995;5951;lake;3150;-1;-1;-1;-1;oasis
3138;5951;lake;3166;-1;-1;-1;-1;oasis
5009;5013;lake;3988;-1;-1;-1;-1;oasis
5014;5013;lake;3991;-1;-1;-1;-1;oasis
5014;3136;lake;3991;-1;-1;-1;-1;oasis
5014;5015;lake;3991;-1;-1;-1;-1;oasis
3144;3433;lake;3991;-1;-1;-1;-1;oasis
3143;3439;lake;3991;-1;-1;-1;-1;oasis
3142;6309;lake;3170;-1;-1;-1;-1;oasis
3142;3145;lake;3170;-1;-1;-1;-1;oasis
3141;3145;lake;3170;-1;-1;-1;-1;oasis
3141;3140;lake;3170;-1;-1;-1;-1;oasis
5014;3184;lake;3991;-1;-1;-1;-1;oasis
5015;5013;lake;3991;-1;-1;-1;-1;oasis
5082;5075;lake;1891;-1;-1;-1;-1;oasis
5082;5052;lake;1891;-1;-1;-1;-1;oasis
5083;5000;lake;3984;-1;-1;-1;-1;oasis
5083;5084;lake;3984;-1;-1;-1;-1;oasis
5085;5084;lake;3984;-1;-1;-1;-1;oasis
5085;4985;lake;3984;-1;-1;-1;-1;oasis
5087;5059;lake;3983;-1;-1;-1;-1;oasis
5087;5086;lake;3982;-1;-1;-1;-1;oasis
5089;5086;lake;3982;-1;-1;-1;-1;oasis
5089;5088;lake;3982;-1;-1;-1;-1;oasis
5089;5090;lake;3982;-1;-1;-1;-1;oasis
4939;5091;lake;3183;-1;-1;-1;-1;oasis
4934;5128;lake;3183;-1;-1;-1;-1;oasis
5129;5090;lake;3183;-1;-1;-1;-1;oasis
5126;4929;lake;3183;-1;-1;-1;-1;oasis
5126;5127;lake;3183;-1;-1;-1;-1;oasis
5126;5105;lake;3183;-1;-1;-1;-1;oasis
5919;5105;lake;3183;-1;-1;-1;-1;oasis
5919;5092;lake;3183;-1;-1;-1;-1;oasis
5123;5092;lake;3183;-1;-1;-1;-1;oasis
5097;5092;lake;3177;-1;-1;-1;-1;oasis
5097;5096;lake;3177;-1;-1;-1;-1;oasis
5097;5098;lake;3177;-1;-1;-1;-1;oasis
5095;5096;lake;3177;-1;-1;-1;-1;oasis
5095;4561;lake;3177;-1;-1;-1;-1;oasis
5095;5100;lake;3177;-1;-1;-1;-1;oasis
5099;5098;lake;3177;-1;-1;-1;-1;oasis
5099;5103;lake;3177;-1;-1;-1;-1;oasis
5104;5103;lake;3177;-1;-1;-1;-1;oasis
5098;5960;lake;3177;-1;-1;-1;-1;oasis
5106;5960;lake;3177;-1;-1;-1;-1;oasis
5100;5101;lake;3174;-1;-1;-1;-1;oasis
5104;4682;lake;3177;-1;-1;-1;-1;oasis
4678;4682;lake;3171;-1;-1;-1;-1;oasis
4681;4682;lake;3171;-1;-1;-1;-1;oasis
4678;4775;lake;3171;-1;-1;-1;-1;oasis
4681;4677;lake;3171;-1;-1;-1;-1;oasis
4680;4677;lake;3169;-1;-1;-1;-1;oasis
4680;4679;lake;3169;-1;-1;-1;-1;oasis
6443;6409;lake;3147;-1;-1;-1;-1;oasis
6408;6409;lake;3147;-1;-1;-1;-1;oasis
6408;6617;lake;3147;-1;-1;-1;-1;oasis
6383;6387;lake;3148;-1;-1;-1;-1;oasis
6539;6531;lake;3155;-1;-1;-1;-1;oasis
6394;6390;lake;3149;-1;-1;-1;-1;oasis
3942;6452;lake;3151;-1;-1;-1;-1;oasis
3033;3108;lake;4019;-1;-1;-1;-1;oasis
-1;-1;;-1;-1;-1;-1;-1;-1;
